------------------------------------------------------------------------------
RESULTS FOR THE UNIFORMITY OF P-VALUES AND THE PROPORTION OF PASSING SEQUENCES
------------------------------------------------------------------------------
   generator is <data/restart/restart_sample.bin>
------------------------------------------------------------------------------
 C1  C2  C3  C4  C5  C6  C7  C8  C9 C10  P-VALUE  PROPORTION  STATISTICAL TEST
  0  99   0   0   0   0   0   1   0   0  0.000000 *  100/100     NonOverlappingTemplate
  0  99   0   0   0   1   0   0   0   0  0.000000 *  100/100     NonOverlappingTemplate
  0  99   0   1   0   0   0   0   0   0  0.000000 *  100/100     NonOverlappingTemplate
  0  99   1   0   0   0   0   0   0   0  0.000000 *  100/100     NonOverlappingTemplate
  0  99   0   0   0   0   0   0   1   0  0.000000 *  100/100     NonOverlappingTemplate
  0  99   0   0   0   0   0   1   0   0  0.000000 *  100/100     NonOverlappingTemplate
  1  99   0   0   0   0   0   0   0   0  0.000000 *  100/100     NonOverlappingTemplate
  1  99   0   0   0   0   0   0   0   0  0.000000 *  100/100     NonOverlappingTemplate
  0  99   0   0   0   0   1   0   0   0  0.000000 *  100/100     NonOverlappingTemplate
  0  99   0   0   0   0   0   0   1   0  0.000000 *  100/100     NonOverlappingTemplate
  0  99   0   1   0   0   0   0   0   0  0.000000 *  100/100     NonOverlappingTemplate
  1  99   0   0   0   0   0   0   0   0  0.000000 *  100/100     NonOverlappingTemplate
  0 100   0   0   0   0   0   0   0   0  0.000000 *  100/100     NonOverlappingTemplate
  0 100   0   0   0   0   0   0   0   0  0.000000 *  100/100     NonOverlappingTemplate
  0  99   0   0   0   1   0   0   0   0  0.000000 *  100/100     NonOverlappingTemplate
  0  99   0   0   0   0   1   0   0   0  0.000000 *  100/100     NonOverlappingTemplate
  0  99   0   0   0   0   0   0   1   0  0.000000 *  100/100     NonOverlappingTemplate
  1  99   0   0   0   0   0   0   0   0  0.000000 *   99/100     NonOverlappingTemplate
  0  99   0   1   0   0   0   0   0   0  0.000000 *  100/100     NonOverlappingTemplate
  1  99   0   0   0   0   0   0   0   0  0.000000 *  100/100     NonOverlappingTemplate
  0  99   0   0   0   0   0   1   0   0  0.000000 *  100/100     NonOverlappingTemplate
  0  99   0   1   0   0   0   0   0   0  0.000000 *  100/100     NonOverlappingTemplate
  0  99   1   0   0   0   0   0   0   0  0.000000 *  100/100     NonOverlappingTemplate
  0  99   0   0   0   0   1   0   0   0  0.000000 *  100/100     NonOverlappingTemplate
  0  99   1   0   0   0   0   0   0   0  0.000000 *  100/100     NonOverlappingTemplate
  0  99   0   0   0   0   0   1   0   0  0.000000 *  100/100     NonOverlappingTemplate
  0  99   0   0   0   0   0   0   0   1  0.000000 *  100/100     NonOverlappingTemplate
  0  99   0   0   0   0   1   0   0   0  0.000000 *  100/100     NonOverlappingTemplate
  0  99   0   1   0   0   0   0   0   0  0.000000 *  100/100     NonOverlappingTemplate
  0  99   0   0   0   0   1   0   0   0  0.000000 *  100/100     NonOverlappingTemplate
  0  99   0   0   0   0   0   1   0   0  0.000000 *  100/100     NonOverlappingTemplate
  0  99   0   1   0   0   0   0   0   0  0.000000 *  100/100     NonOverlappingTemplate
  0  99   0   0   0   1   0   0   0   0  0.000000 *  100/100     NonOverlappingTemplate
  0  99   0   0   0   0   0   0   0   1  0.000000 *  100/100     NonOverlappingTemplate
  0  99   0   1   0   0   0   0   0   0  0.000000 *  100/100     NonOverlappingTemplate
  0 100   0   0   0   0   0   0   0   0  0.000000 *  100/100     NonOverlappingTemplate
  0  99   0   0   0   1   0   0   0   0  0.000000 *  100/100     NonOverlappingTemplate
  0  99   0   0   0   0   0   1   0   0  0.000000 *  100/100     NonOverlappingTemplate
  0  99   0   0   0   0   0   0   0   1  0.000000 *  100/100     NonOverlappingTemplate
  0  99   0   0   0   1   0   0   0   0  0.000000 *  100/100     NonOverlappingTemplate
  1  99   0   0   0   0   0   0   0   0  0.000000 *  100/100     NonOverlappingTemplate
  0  99   0   0   0   0   1   0   0   0  0.000000 *  100/100     NonOverlappingTemplate
  0  99   0   0   0   0   0   0   0   1  0.000000 *  100/100     NonOverlappingTemplate
  1  99   0   0   0   0   0   0   0   0  0.000000 *  100/100     NonOverlappingTemplate
  1  99   0   0   0   0   0   0   0   0  0.000000 *  100/100     NonOverlappingTemplate
  0  99   0   0   0   0   1   0   0   0  0.000000 *  100/100     NonOverlappingTemplate
  0  99   0   0   0   0   0   0   1   0  0.000000 *  100/100     NonOverlappingTemplate
  0  99   0   0   0   0   1   0   0   0  0.000000 *  100/100     NonOverlappingTemplate
  0  99   0   0   0   0   0   0   0   1  0.000000 *  100/100     NonOverlappingTemplate
  0 100   0   0   0   0   0   0   0   0  0.000000 *  100/100     NonOverlappingTemplate
  0  99   1   0   0   0   0   0   0   0  0.000000 *  100/100     NonOverlappingTemplate
  0  99   0   0   0   0   0   1   0   0  0.000000 *  100/100     NonOverlappingTemplate
  0  99   0   0   0   1   0   0   0   0  0.000000 *  100/100     NonOverlappingTemplate
  0  99   0   0   1   0   0   0   0   0  0.000000 *  100/100     NonOverlappingTemplate
  1  99   0   0   0   0   0   0   0   0  0.000000 *  100/100     NonOverlappingTemplate
  0  99   1   0   0   0   0   0   0   0  0.000000 *  100/100     NonOverlappingTemplate
  0  99   0   0   0   0   1   0   0   0  0.000000 *  100/100     NonOverlappingTemplate
  0 100   0   0   0   0   0   0   0   0  0.000000 *  100/100     NonOverlappingTemplate
  1  99   0   0   0   0   0   0   0   0  0.000000 *  100/100     NonOverlappingTemplate
  0  99   0   0   0   0   0   0   0   1  0.000000 *  100/100     NonOverlappingTemplate
  0 100   0   0   0   0   0   0   0   0  0.000000 *  100/100     NonOverlappingTemplate
  0 100   0   0   0   0   0   0   0   0  0.000000 *  100/100     NonOverlappingTemplate
  0  99   0   0   1   0   0   0   0   0  0.000000 *  100/100     NonOverlappingTemplate
  0  99   0   0   0   0   0   0   0   1  0.000000 *  100/100     NonOverlappingTemplate
  0  99   0   0   0   0   0   1   0   0  0.000000 *  100/100     NonOverlappingTemplate
  0  99   0   0   1   0   0   0   0   0  0.000000 *  100/100     NonOverlappingTemplate
  0  99   0   1   0   0   0   0   0   0  0.000000 *  100/100     NonOverlappingTemplate
  0  99   0   0   0   0   0   1   0   0  0.000000 *  100/100     NonOverlappingTemplate
  0 100   0   0   0   0   0   0   0   0  0.000000 *  100/100     NonOverlappingTemplate
